,Name,Overall,Wage
520,Nacho Monreal,80,€99K
521,Beñat,80,€30K
522,A. Fernández,80,€20K
523,K. Gameiro,80,€45K
524,I. Piatti,80,€13K
525,V. Birsa,80,€23K
526,S. Romero,80,€91K
527,D. Criscito,80,€21K
528,D. Valeri,80,€12K
529,D. Sturridge,80,€125K
530,Raúl García,80,€30K
531,S. Defour,80,€65K
532,M. Škrtel,80,€68K
533,S. Radu,80,€51K
534,G. Cahill,80,€99K
535,L. Diarra,80,€75K
536,L. Perrin,80,€37K
537,Dante,80,€37K
538,A. Granqvist,80,€0.00
539,A. Gignac,80,€70K
540,M. Gómez,80,€46K
541,I. Akinfeev,80,€1K
542,I. Denisov,80,€1K
543,Juanfran,80,€53K
544,Diego López,80,€17K
545,Santi Cazorla,80,€39K
546,Jesús Navas,80,€22K
547,J. Mascherano,80,€20K
548,A. Mirante,80,€51K
549,D. Srna,80,€27K
550,B. Schweinsteiger,80,€11K
551,Moyá,80,€26K
552,W. Rooney,80,€13K
553,Fernando Torres,80,€10K
554,S. Sorrentino,80,€10K
555,V. Tsygankov,79,€1K
556,Rúben Dias,79,€10K
557,David Neres,79,€18K
558,Raphinha,79,€13K
559,A. Harit,79,€27K
560,Richarlison,79,€79K
561,L. Martínez,79,€54K
562,F. Kessié,79,€24K
563,Luimo Boas Santos,79,€26K
564,Gabri Prestão,79,€24K
565,Melvin Parrela,79,€20K
566,Antônio Chiamuloira,79,€30K
567,Maikel Catarino,79,€38K
568,A. Lunev,79,€0.00
569,André Silva,79,€84K
570,C. Pulisic,79,€26K
571,M. Dmitrović,79,€21K
572,L. Tousart,79,€43K
573,Marcos Llorente,79,€110K
574,B. Verbič,79,€1K
575,S. Bergwijn,79,€17K
576,A. Diallo,79,€43K
577,A. Golovin,79,€61K
578,M. Campaña,79,€21K
579,C. Pavón,79,€27K
580,K. Toko-Ekambi,79,€38K
581,Granell,79,€37K
582,F. Cervi,79,€15K
583,J. Weigl,79,€43K
584,V. Lindelöf,79,€91K
585,A. Rebić,79,€39K
586,A. Sanabria,79,€27K
587,R. Battaglia,79,€17K
588,M. Philipp,79,€53K
589,A. Saint-Maximin,79,€31K
590,D. Zappacosta,79,€94K
591,L. Alario,79,€67K
592,D. Benedetto,79,€32K
593,I. Marcone,79,€31K
594,J. Gbamin,79,€26K
595,J. Lerma,79,€55K
596,Ricardo Horta,79,€16K
597,R. Zobnin,79,€1K
598,M. Meyer,79,€53K
599,Bruma,79,€48K
600,R. Centurión,79,€25K
601,Jonny,79,€43K
602,Otávio,79,€15K
603,J. Hofmann,79,€32K
604,N. Aké,79,€55K
605,J. Hector,79,€26K
606,S. Kolašinac,79,€89K
607,G. Pizarro,79,€58K
608,Roger,79,€32K
609,Sergio Rico,79,€13K
610,L. Milivojević,79,€56K
611,D. Baselli,79,€49K
612,K. Rekik,79,€26K
613,Denis Suárez,79,€120K
614,W. Orban,79,€48K
615,Mário Rui,79,€60K
616,Iñigo Martínez,79,€26K
617,K. Zouma,79,€80K
618,Roque Mesa,79,€20K
619,J. Brooks,79,€44K
620,L. Karius,79,€71K
621,Zé Luís,79,€1K
622,D. Klaassen,79,€32K
623,M. Elyounoussi,79,€48K
624,L. Bittencourt,79,€35K
625,Sergi Darder,79,€29K
626,J. Roussillon,79,€44K
627,D. Demme,79,€50K
628,J. Gouweleeuw,79,€28K
629,M. Rojo,79,€115K
630,J. Veretout,79,€59K
631,L. Kurzawa,79,€68K
632,G. Ramírez,79,€41K
633,David López,79,€32K
634,C. Tătăruşanu,79,€23K
635,A. Mandi,79,€26K
636,D. Sidibé,79,€61K
637,Y. Konoplyanka,79,€41K
638,S. Berghuis,79,€20K
639,H. Vanaken,79,€27K
640,Campaña,79,€28K
641,M. van Ginkel,79,€98K
642,Nolito,79,€21K
643,M. Gregoritsch,79,€27K
644,Ibai Gómez,79,€31K
645,Danilo,79,€110K
646,R. Barkley,79,€89K
647,M. Ryan,79,€41K
648,Sergio León,79,€32K
649,B. Stambouli,79,€33K
650,J. Guilavogui,79,€46K
651,Sérgio Oliveira,79,€17K
652,D. Caligiuri,79,€33K
653,C. Wilson,79,€77K
654,P. Jones,79,€110K
655,Borja García,79,€35K
656,Y. Belhanda,79,€65K
657,G. Pezzella,79,€56K
658,Jaume Costa,79,€34K
659,C. Tosun,79,€105K
660,Escudero,79,€20K
661,Kike García,79,€32K
662,Elkeson,79,€25K
663,Ricardo Goulart,79,€25K
664,J. Guðmundsson,79,€61K
665,N. Clyne,79,€94K
666,M. Hitz,79,€41K
667,De Marcos,79,€27K
668,B. Mee,79,€58K
669,Rafael,79,€60K
670,Iborra,79,€66K
671,J. Wilshere,79,€83K
672,B. Hübner,79,€39K
673,Souza,79,€44K
674,F. Coquelin,79,€36K
675,Alex Teixeira,79,€30K
676,A. Dzagoev,79,€1K
677,I. Smolnikov,79,€0.00
678,Y. M'Vila,79,€36K
679,K. Asamoah,79,€62K
680,R. Zieler,79,€32K
681,D. Drinkwater,79,€110K
682,N. Kalinić,79,€60K
683,Mariano,79,€57K
684,S. Feghouli,79,€65K
685,Adrien Silva,79,€75K
686,Fernando,79,€57K
687,I. Traoré,79,€34K
688,G. Mercado,79,€19K
689,N. Petersen,79,€35K
690,O. Karnezis,79,€48K
691,M. Sakho,79,€58K
692,Sidnei,79,€27K
693,S. Jovetić,79,€79K
694,Eder,79,€29K
695,J. Hernández,79,€90K
696,Fabricio,79,€47K
697,Kiko Casilla,79,€105K
698,Ángel,79,€31K
699,M. Schneiderlin,79,€92K
700,M. Fellaini,79,€120K
701,P. Wernbloom,79,€1K
702,D. Ospina,79,€80K
703,S. Mignolet,79,€76K
704,A. Begović,79,€52K
705,N. Şahin,79,€32K
706,R. Bertrand,79,€53K
707,A. Masiello,79,€30K
708,T. Walcott,79,€105K
709,Charles,79,€31K
710,T. Heaton,79,€45K
711,H. Ben Arfa,79,€38K
712,D. Abraham,79,€37K
713,E. Lavezzi,79,€22K
714,S. Kalou,79,€34K
715,J. Farfán,79,€1K
716,R. Babel,79,€55K
717,A. Young,79,€110K
718,J. Hart,79,€45K
719,L. López,79,€22K
720,D. Baier,79,€28K
721,B. Yılmaz,79,€41K
722,R. Adler,79,€25K
723,S. Lichtsteiner,79,€94K
724,E. Adebayor,79,€34K
725,E. Belözoğlu,79,€23K
726,Loren,78,€25K
727,Éder Militão,78,€10K
728,F. Chiesa,78,€46K
729,M. Lazzari,78,€15K
730,A. Hakimi,78,€49K
731,S. Nakajima,78,€12K
732,L. Jović,78,€12K
733,S. Ascacíbar,78,€24K
734,A. Lafont,78,€12K
735,T. Alexander-Arnold,78,€36K
736,F. Krovinović,78,€12K
737,Sidney Pessinho,78,€27K
738,Everticinho,78,€29K
739,Claudio Coíntra,78,€30K
740,Ronaldo Esler,78,€34K
741,P. Lees-Melou,78,€33K
742,B. Chilwell,78,€43K
743,João Novais,78,€15K
744,D. Calabria,78,€52K
745,F. Mendy,78,€47K
746,L. Pellegrini,78,€51K
747,Soares,78,€17K
748,Daniel Podence,78,€1K
749,M. Díaz,78,€15K
750,G. Martínez,78,€25K
751,M. Eggestein,78,€22K
752,Trezeguet,78,€15K
753,N. Amiri,78,€27K
754,Vallejo,78,€81K
755,J. Gomez,78,€61K
756,Diogo Jota,78,€56K
757,Joan Jordán,78,€22K
758,Dyego Sousa,78,€19K
759,A. Marušić,78,€46K
760,David Soria,78,€18K
761,V. Rongier,78,€25K
762,W. Weghorst,78,€48K
763,O. Al Soma,78,€47K
764,M. Nakamba,78,€20K
765,Petros,78,€43K
766,Pablo Maffeo,78,€24K
767,Y. Mina,78,€68K
768,M. Dúbravka,78,€39K
769,Diego Carlos,78,€25K
770,D. Djené,78,€23K
771,G. Simeone,78,€53K
772,M. Meza,78,€23K
773,Bastos,78,€44K
774,S. Lobotka,78,€22K
775,Y. Tielemans,78,€47K
776,Marcelo Goiano,78,€15K
777,K. Tete,78,€47K
778,Capa,78,€23K
779,M. Sportiello,78,€22K
780,Jemerson,78,€55K
781,N. Maksimović,78,€54K
782,D. Zapata,78,€41K
783,J. Correa,78,€42K
784,E. Rigoni,78,€29K
785,C. Izquierdoz,78,€25K
786,W. Barrios,78,€20K
787,J. Mojica,78,€28K
788,A. Selikhov,78,€1K
789,A. Iwobi,78,€81K
790,D. Laxalt,78,€76K
791,N. Bentaleb,78,€29K
792,N. Stark,78,€24K
793,M. Lemina,78,€44K
794,L. Dendoncker,78,€18K
795,Ricardo Esgaio,78,€16K
796,P. Sisto,78,€25K
797,P. Max,78,€22K
798,R. Gagliardini,78,€46K
799,Pere Pons,78,€31K
800,D. Berardi,78,€50K
801,M. Halstenberg,78,€45K
802,J. Quintero,78,€15K
803,Tiago Volpi,78,€10K
804,Óliver Torres,78,€13K
805,Omar Mascarell,78,€29K
806,H. Sakai,78,€44K
807,Andreas Pereira,78,€91K
808,A. Januzaj,78,€29K
809,B. Cristante,78,€26K
810,Matheus,78,€12K
811,B. Traoré,78,€57K
812,Y. Poulsen,78,€48K
813,L. Trossard,78,€17K
814,M. Arnold,78,€40K
815,M. De Sciglio,78,€78K
816,Leo Baptistao,78,€29K
817,V. Chiricheş,78,€57K
818,L. Pavoletti,78,€39K
819,A. Cragno,78,€21K
820,L. Castro,78,€36K
821,N. Füllkrug,78,€38K
822,F. Fajr,78,€28K
823,R. Jiménez,78,€15K
824,E. Sala,78,€31K
825,S. García,78,€20K
826,S. Arias,78,€46K
827,B. Reynet,78,€24K
828,Pozuelo,78,€19K
829,A. Trebel,78,€23K
830,J. Lascelles,78,€39K
831,T. Kongolo,78,€39K
832,A. Carrillo,78,€14K
833,Álvaro,78,€32K
834,G. Defrel,78,€64K
835,Fernando,78,€1K
836,V. Darida,78,€30K
837,R. Saponara,78,€56K
838,Pedro Mendes,78,€26K
839,C. Schindler,78,€48K
840,N. Chadli,78,€66K
841,Arbilla,78,€23K
842,L. Dunk,78,€46K
843,P. Hernández,78,€24K
844,J. Guidetti,78,€29K
845,Sergi Gómez,78,€17K
846,Oriol Romeu,78,€46K
847,Lucas Pérez,78,€85K
848,B. Natcho,78,€1K
849,Cláudio Ramos,78,€6K
850,F. Lejeune,78,€46K
851,G. Krychowiak,78,€1K
852,N. Lodeiro,78,€11K
853,O. Özyakup,78,€47K
854,C. Tévez,78,€26K
855,K. Papadopoulos,78,€16K
856,M. Gradel,78,€32K
857,M. Debuchy,78,€31K
858,V. Moses,78,€105K
859,Z. Junuzović,78,€39K
860,Granero,78,€30K
861,J. Baumgartlinger,78,€53K
862,Fábio Coentrão,78,€13K
863,B. Costil,78,€32K
864,Hilton,78,€18K
865,N. Gudelj,78,€19K
866,L. Pratto,78,€28K
867,E. Hernández,78,€29K
868,Jurado,78,€41K
869,R. Cabella,78,€36K
870,Rafael Tolói,78,€27K
871,C. Bravo,78,€50K
872,Hernanes,78,€19K
873,K. Honda,78,€12K
874,A. Dzyuba,78,€0.00
875,J. Holebas,78,€51K
876,Javi García,78,€23K
877,Sergio,78,€19K
878,M. Cáceres,78,€44K
879,Daniel Carriço,78,€18K
880,J. Cork,78,€58K
881,J. Tomkins,78,€53K
882,Guilherme,78,€1K
883,Gervinho,78,€49K
884,J. Shelvey,78,€50K
885,R. Eremenko,78,€1K
886,R. Vormer,78,€26K
887,J. Lens,78,€50K
888,Adriano,78,€45K
889,S. Cook,78,€58K
890,L. Podolski,78,€11K
891,C. Ansaldi,78,€54K
892,Manu García,78,€24K
893,R. Alessandrini,78,€11K
894,J. Ward-Prowse,77,€41K
895,M. Harnik,77,€31K
896,B. Moukandjo,77,€25K
897,G. Pereiro,77,€15K
898,G. Castro,77,€34K
899,Aarón Martín,77,€18K
900,F. Johnson,77,€29K
901,L. López,77,€13K
902,M. Dossevi,77,€30K
903,Caiuby,77,€27K
904,Gabriel,77,€11K
905,Iván Ramis,77,€22K
906,M. Suchý,77,€26K
907,T. Vilhena,77,€13K
908,E. Çolak,77,€27K
909,V. Germain,77,€49K
910,G. Hoarau,77,€26K
911,Sergio García,77,€23K
